City,Location,Carpet Area,Built-up Area,Super Built-up Area,BHK,Bathrooms,Balcony,Parking,Floor,Total Floors,Property Age,Facing,Property Type,Furnishing,Power Backup,Lift,Security,Swimming Pool,Gym,Garden,Nearby Metro,Nearby Hospital,Nearby School,Nearby Mall,Road Width,Corner Property,East Facing,Latitude,Longitude,Price
Kolkata,Tollygunge,2006,2407,3008,5,5,1,0,5,10,3,South,Apartment,Unfurnished,1,1,1,0,0,0,1,1,1,0,40,0,0,22.5512,88.3268,22087863
Tirupati,Bairagipatteda,943,1131,1413,2,2,0,1,4,4,24,South,Apartment,Unfurnished,0,0,1,0,0,1,1,1,1,0,40,0,0,13.6065,79.4954,5907364
Hyderabad,Secunderabad,2117,2540,3175,5,5,1,1,6,7,22,South,Builder Floor,Semi-Furnished,1,0,1,0,0,0,0,1,1,1,20,0,0,17.4141,78.5311,15822842
Mumbai,Andheri,530,636,795,1,1,3,1,3,4,22,West,Builder Floor,Semi-Furnished,1,1,1,0,0,0,1,1,1,1,30,0,0,18.945,72.9188,21355037
Guntur,Brodipet,530,636,795,1,1,1,0,15,15,10,East,Apartment,Unfurnished,1,0,1,1,1,1,1,1,1,1,30,1,1,16.2912,80.4702,5631437
Anantapur,Kalyandurg Road,1697,2036,2545,4,4,1,1,7,7,21,South,Apartment,Unfurnished,1,1,1,0,0,0,1,1,1,0,40,0,0,14.6489,77.6008,6024561
Mumbai,South Mumbai,829,994,1242,2,2,1,1,4,4,16,North,Apartment,Semi-Furnished,1,1,1,0,0,1,0,1,1,1,60,0,0,19.1119,72.8301,80027501
Anantapur,Raju Road,1627,1952,2440,4,4,2,0,7,7,9,North,Apartment,Semi-Furnished,1,1,1,0,0,1,1,1,1,0,30,0,0,14.7227,77.6242,9407809
Vizianagaram,Cantonment,1174,1408,1760,3,4,2,0,1,7,2,East,Apartment,Semi-Furnished,1,1,1,0,0,0,1,1,1,1,20,0,1,18.1336,83.4459,9605778
Vijayawada,Moghalrajpuram,721,865,1081,2,2,3,1,2,15,20,West,Apartment,Fully Furnished,1,0,1,0,1,0,1,1,1,1,40,0,0,16.4998,80.6651,10136773
Bangalore,Electronic City,1690,2028,2535,4,4,0,0,2,7,21,West,Apartment,Semi-Furnished,1,1,1,0,0,0,0,1,1,0,60,0,0,12.8815,77.618,13316405
Rajahmundry,Danavaipeta,1135,1362,1702,3,3,2,1,3,3,1,West,Villa,Semi-Furnished,1,0,0,1,0,1,1,1,0,0,30,0,0,17.0488,81.7785,14419220
Vijayawada,Gollapudi,961,1153,1441,2,1,1,0,13,15,17,South,Apartment,Semi-Furnished,1,1,1,0,0,0,1,1,0,1,40,0,0,16.4902,80.6378,6108627
Guntur,Gorantla,1288,1545,1931,3,3,1,0,3,7,4,West,Apartment,Semi-Furnished,0,0,1,0,0,1,1,0,1,1,20,0,0,16.207,80.3715,8016633
Pune,Baner,522,626,782,1,1,3,2,8,15,15,North,Apartment,Semi-Furnished,1,1,1,0,0,1,1,1,1,1,60,0,0,18.4762,73.8217,5346950
Kadapa,Yerramukkapalli,1189,1426,1782,3,3,2,2,4,7,25,East,Apartment,Fully Furnished,0,1,1,0,0,1,1,1,1,1,30,0,1,14.4962,78.746,7183693
Pune,Baner,712,854,1067,2,2,1,1,9,10,21,East,Apartment,Semi-Furnished,0,1,0,0,0,1,1,1,1,1,60,0,1,18.5806,73.7969,6683902
Kurnool,Budhavarapeta,480,576,720,1,1,0,1,11,30,10,West,Apartment,Semi-Furnished,1,1,1,0,0,0,1,1,1,0,80,0,0,15.8426,78.0279,3009643
Hyderabad,Kondapur,481,577,721,1,1,1,0,2,7,25,South,Apartment,Semi-Furnished,1,1,1,0,0,1,1,1,1,0,30,1,0,17.3962,78.4873,4218244
Bangalore,Koramangala,1946,2335,2918,5,5,2,2,7,10,24,North,Apartment,Semi-Furnished,1,1,1,0,0,0,1,1,1,0,30,1,0,12.876,77.6127,36453360
Kurnool,Joharapuram,334,400,500,1,2,3,1,2,2,12,East,Villa,Semi-Furnished,1,0,1,0,0,1,1,1,1,1,20,0,1,15.7484,78.0073,1902865
Chennai,Anna Nagar,1232,1478,1847,3,4,1,0,1,1,20,West,Villa,Fully Furnished,1,0,1,1,0,1,0,1,0,1,30,0,0,13.0568,80.3153,26580838
Vijayawada,Gollapudi,550,660,825,1,1,0,1,2,15,10,North,Apartment,Semi-Furnished,1,1,1,0,0,1,1,1,1,0,60,0,0,16.5546,80.6803,4012919
Kakinada,Ramaraopeta,1168,1401,1751,3,4,1,1,3,7,14,East,Apartment,Semi-Furnished,1,1,0,0,0,1,1,1,1,1,30,0,1,17.0199,82.2211,8018082
Lucknow,Charbagh,300,360,450,1,1,1,1,3,7,8,West,Builder Floor,Unfurnished,0,1,1,0,0,0,0,1,1,0,40,0,0,26.8329,80.8311,1844051
Nellore,Dargamitta,1113,1335,1668,3,2,0,1,12,15,12,West,Apartment,Fully Furnished,1,0,1,0,0,0,1,1,1,1,30,0,0,14.4422,80.0605,8519995
Tirupati,TUDA Layout,935,1122,1402,2,1,1,0,8,10,12,West,Apartment,Semi-Furnished,0,0,1,0,0,0,0,1,1,0,40,0,0,13.6423,79.4167,7058769
Delhi,Connaught Place,1903,2283,2853,5,4,3,0,2,20,14,North,Apartment,Semi-Furnished,1,0,1,0,1,0,0,1,1,1,40,0,0,28.7531,77.1284,74101877
Rajahmundry,Innespeta,837,1004,1255,2,3,1,1,1,15,8,North,Penthouse,Unfurnished,1,0,1,1,0,1,1,1,1,1,30,0,0,17.0271,81.8388,9120528
Bangalore,Jayanagar,377,452,565,1,1,1,1,7,20,7,West,Builder Floor,Semi-Furnished,1,1,1,0,0,1,0,1,1,1,60,0,0,13.0174,77.6491,7376848
Tirupati,Korlagunta,930,1116,1395,2,2,3,1,1,1,3,West,Villa,Semi-Furnished,1,0,0,0,0,0,1,1,1,1,40,0,0,13.6995,79.3955,7658173
Kadapa,Ravindra Nagar,981,1177,1471,2,2,1,1,8,10,22,North,Apartment,Fully Furnished,1,0,0,0,0,1,1,1,1,1,30,0,0,14.5318,78.856,4982175
Jaipur,Mansarovar,1395,1674,2092,3,4,3,2,4,4,21,North,Apartment,Unfurnished,1,1,1,0,0,0,1,1,0,0,60,0,0,26.9536,75.791,8064334
Rajahmundry,Morampudi,1116,1339,1673,3,3,0,1,4,10,5,East,Builder Floor,Unfurnished,1,1,0,0,1,0,1,1,1,0,60,1,1,17.1292,81.807,7458665
Kadapa,Ravindra Nagar,1131,1357,1696,3,3,2,1,1,10,13,North,Apartment,Fully Furnished,1,1,1,0,0,0,1,1,1,0,30,0,0,14.4535,78.8189,6219103
Rajahmundry,Ramanayyapeta,946,1135,1418,2,2,0,0,5,7,2,North,Apartment,Semi-Furnished,0,0,1,0,0,1,1,1,1,0,40,0,0,16.917,81.8922,5611776
Tirupati,Korlagunta,933,1119,1398,2,3,1,0,6,7,8,West,Apartment,Fully Furnished,1,1,0,0,0,1,1,1,1,1,60,0,0,13.6723,79.4721,6784137
Jaipur,Mansarovar,853,1023,1278,2,2,0,0,21,30,9,South,Apartment,Unfurnished,1,1,1,0,0,0,0,1,1,1,30,0,0,26.9717,75.8002,5724489
Nellore,Dargamitta,492,590,737,1,1,2,1,4,7,16,North,Apartment,Semi-Furnished,1,1,1,0,0,1,0,0,1,1,30,0,0,14.5706,79.9817,3305014
Delhi,Noida,995,1194,1492,2,2,1,2,3,7,17,East,Apartment,Semi-Furnished,0,0,1,0,0,1,1,1,1,1,20,0,1,28.6781,77.2435,12365185
Kurnool,Budhavarapeta,1767,2120,2650,4,4,3,1,7,15,16,North,Builder Floor,Unfurnished,1,0,1,0,0,1,1,1,0,1,40,0,0,15.8955,78.1022,9536400
Vijayawada,Kanuru,830,996,1245,2,2,1,1,1,1,3,East,Villa,Unfurnished,1,0,1,1,0,1,1,1,0,0,40,0,1,16.6361,80.6155,9534906
Lucknow,Gomti Nagar,764,916,1145,2,2,0,2,6,7,4,East,Apartment,Unfurnished,0,0,1,0,0,0,1,1,1,1,30,1,1,26.8589,80.9926,9086079
Delhi,South Delhi,1359,1630,2037,3,3,3,0,10,10,10,West,Apartment,Semi-Furnished,1,1,1,0,1,0,1,1,1,0,30,0,0,28.6224,77.2088,55914084
Bangalore,Jayanagar,788,945,1181,2,2,1,2,4,7,8,North,Apartment,Fully Furnished,1,1,1,0,0,0,1,1,1,1,80,0,0,12.9457,77.6058,17747928
Ahmedabad,Prahlad Nagar,814,976,1220,2,3,1,0,6,7,23,North,Apartment,Semi-Furnished,0,0,1,0,0,0,1,1,1,0,60,1,0,23.0204,72.5992,7736767
Lucknow,Aliganj,1257,1508,1885,3,4,0,1,2,7,12,West,Apartment,Semi-Furnished,0,1,0,0,0,1,0,1,0,1,30,1,0,26.7874,80.9263,9567470
Vizianagaram,KL Puram,541,649,811,1,2,0,2,2,2,23,North,Villa,Semi-Furnished,1,0,1,1,0,1,1,0,1,0,60,1,0,18.1068,83.3377,3415237
Bangalore,Jayanagar,1770,2124,2655,4,4,2,2,6,15,10,North,Apartment,Unfurnished,0,1,1,1,1,1,1,1,1,1,60,0,0,12.9893,77.5802,37437308
Rajahmundry,Lala Cheruvu,771,925,1156,2,1,1,0,2,10,19,North,Apartment,Unfurnished,0,1,1,0,1,1,0,1,1,1,40,0,0,16.9635,81.8033,3881034
Eluru,Powerpet,1163,1395,1743,3,3,0,2,6,10,10,East,Apartment,Semi-Furnished,1,1,1,0,0,0,1,0,1,0,40,0,1,16.7138,81.0637,6815962
Mumbai,Thane,402,482,602,1,1,1,0,7,7,11,East,Apartment,Fully Furnished,1,1,1,0,0,1,0,1,1,1,80,0,1,19.0592,72.9984,12256565
Kurnool,Nandyal Road,721,865,1081,2,2,2,1,2,4,11,North,Apartment,Semi-Furnished,1,1,1,0,0,1,1,1,0,0,40,0,0,15.7625,78.0972,4878107
Bangalore,Electronic City,334,400,500,1,1,1,1,1,4,25,East,Apartment,Fully Furnished,1,1,1,0,0,1,1,1,0,0,60,0,1,13.0374,77.6166,3051326
Kadapa,Ravindra Nagar,824,988,1235,2,2,2,1,4,4,3,South,Apartment,Semi-Furnished,1,1,1,0,0,0,1,0,1,1,40,0,0,14.4373,78.8362,5287847
Delhi,Rohini,1263,1515,1893,3,4,1,1,2,4,9,South,Apartment,Unfurnished,1,1,1,0,0,0,0,0,1,1,60,0,0,28.633,77.2305,18602831
Tirupati,Renigunta Road,829,994,1242,2,1,1,1,5,7,20,North,Apartment,Semi-Furnished,0,0,1,0,0,1,0,1,1,1,30,0,0,13.5238,79.5661,4943566
Anantapur,Kalyandurg Road,533,639,798,1,1,0,1,2,4,4,North,Apartment,Semi-Furnished,1,1,1,0,0,1,1,1,1,0,30,1,0,14.7372,77.66,2551703
Kurnool,Joharapuram,1189,1426,1782,3,3,0,1,25,30,15,East,Apartment,Semi-Furnished,1,1,1,0,1,1,1,1,1,1,40,0,1,15.8194,78.0381,5881089
Vijayawada,Patamata,792,950,1187,2,2,1,1,3,4,7,West,Apartment,Unfurnished,1,1,1,0,0,1,1,1,1,0,40,0,0,16.4987,80.5663,9992902
Chennai,Velachery,1120,1344,1680,3,2,0,1,3,7,18,North,Apartment,Fully Furnished,0,0,1,0,0,1,1,1,1,1,30,0,0,13.0469,80.3486,16157624
Visakhapatnam,Rushikonda,458,549,686,1,1,0,1,4,40,21,North,Apartment,Unfurnished,1,0,0,1,1,1,1,1,1,0,60,1,0,17.7026,83.294,5565376
Hyderabad,Jubilee Hills,1199,1438,1797,3,3,2,2,2,10,4,North,Apartment,Semi-Furnished,1,1,0,0,0,0,0,1,1,1,30,0,0,17.3633,78.4522,30736602
Rajahmundry,Morampudi,824,988,1235,2,2,2,1,2,4,5,West,Builder Floor,Unfurnished,1,1,1,0,0,1,1,1,1,1,60,1,0,16.9745,81.8143,6036137
Ahmedabad,Bopal,1399,1678,2097,3,3,1,1,1,15,2,West,Apartment,Fully Furnished,1,0,1,1,1,0,1,1,1,0,30,0,0,23.0215,72.5906,12309852
Kadapa,Co-operative Colony,1347,1616,2020,3,3,2,1,3,4,0,East,Apartment,Semi-Furnished,1,0,1,0,0,0,1,0,1,1,60,0,1,14.4164,78.7148,12297008
Chennai,OMR,1242,1490,1862,3,4,2,1,2,4,12,North,Apartment,Fully Furnished,1,0,1,0,0,1,1,0,1,0,40,1,0,13.1183,80.2767,12944368
Vizianagaram,Cantonment,1769,2122,2652,4,3,2,0,6,40,24,East,Penthouse,Semi-Furnished,0,0,1,0,1,1,1,1,1,0,30,0,1,18.1394,83.3348,15436049
Kadapa,Ravindra Nagar,965,1158,1447,2,2,1,1,3,3,8,North,Villa,Semi-Furnished,1,0,0,1,0,1,1,1,1,0,20,0,0,14.5191,78.8437,7042223
Pune,Baner,955,1146,1432,2,1,1,0,6,15,4,West,Apartment,Fully Furnished,1,1,1,1,0,1,1,1,1,0,30,0,0,18.5143,73.8349,11726169
